"prestamo.numprestamo","prestamo.numsucursal","prestamo.importe","prestamo.fecha"
"P-00126","34","28087.39","Wed Mar 28 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00127","101","37416.26","Sat Jul 12 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00131","37","26486.72","Mon Mar 04 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00138","126","49932.99","Thu Sep 26 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00151","16","36149.23","Fri Jul 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00154","26","6498.16","Thu Mar 07 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00156","121","139490.78","Thu May 08 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00159","37","14867.56","Tue Mar 12 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00160","66","11627.58","Sat Jan 26 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00162","187","39100.17","Fri Jul 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00163","23","80518.45","Wed Sep 17 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00164","65","147280.65","Mon Apr 16 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00166","73","31297.54","Fri Aug 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00168","74","77333.45","Fri Jul 25 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00169","89","78238.32","Thu Mar 20 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00170","4","149694.01","Sun Oct 20 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00171","121","18521.86","Wed Dec 31 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00181","101","8255.24","Mon Apr 14 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00182","89","125091.83","Sun Apr 20 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00184","4","33688.11","Sat Jan 11 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00185","51","116835.83","Tue Sep 03 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00190","85","139945.02","Mon Jan 06 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00197","23","114700.71","Thu Dec 27 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00202","187","74696.67","Mon Feb 20 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00203","126","61111.34","Sun Mar 11 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00208","34","83695.06","Sun May 11 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00213","34","71460.52","Wed Jul 11 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00218","142","45875.07","Tue Jul 08 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00219","126","37540.53","Thu Apr 19 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00224","73","44360.26","Wed Dec 31 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00225","125","9067.43","Tue Dec 03 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00226","25","97892.02","Sun Dec 07 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00227","70","62187.17","Fri Jan 11 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00228","101","78816.29","Thu Aug 22 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00229","146","123525.25","Thu Jan 31 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00230","126","35834.38","Sat Nov 16 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00238","85","45583.75","Mon Dec 01 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00242","37","141538.83","Tue Feb 11 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00244","125","148218.12","Mon Mar 31 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00246","125","144230.73","Sun Jan 22 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00250","121","8909.65","Sat Feb 15 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00251","169","60342.87","Mon Jan 07 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00255","89","87904.73","Thu Aug 23 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00265","119","133431.42","Sat Jun 07 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00271","89","2010.63","Wed Feb 22 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00275","73","123211.43","Mon Mar 12 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00276","146","57793.55","Mon Dec 09 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00279","26","62463.32","Fri Nov 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00300","64","91941.6","Fri Mar 15 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00307","119","109050.61","Sat Nov 30 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00315","119","42787.52","Tue Jul 30 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00316","154","1337.34","Fri Aug 09 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00322","37","129162.77","Sat Nov 09 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00330","187","96372.11","Thu Mar 14 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00337","73","116618.14","Fri May 03 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00343","125","103309.71","Wed Sep 12 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00345","126","106752.58","Sun Nov 17 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00346","142","83252.13","Sun May 25 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00357","20","30310.31","Fri Dec 19 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00358","26","27916.54","Mon Jul 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00359","70","133295.31","Wed Sep 10 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00363","141","91328.07","Fri Feb 14 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00365","141","129254.78","Sat Apr 13 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00376","121","150087.87","Fri Mar 15 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00395","89","8006.71","Tue Jul 08 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00399","148","44522.74","Fri Nov 14 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00406","85","120383.06","Wed Aug 01 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00408","152","18267.57","Tue Aug 21 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00410","64","147566.52","Thu Jun 28 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00412","85","127195.45","Tue Jul 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00419","125","141680.68","Sat May 12 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00423","152","106684.04","Mon Jan 21 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00424","165","135541.79","Sun Jun 03 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00425","146","131726.6","Sat Sep 29 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00438","52","101611.31","Mon Dec 09 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00440","64","19651.39","Mon Mar 26 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00450","20","101512.41","Thu Oct 23 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00454","26","18105.13","Wed Aug 21 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00459","89","76560.07","Mon Dec 31 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00464","16","8041.91","Fri Feb 08 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00467","22","129014.06","Mon Feb 27 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00485","148","95026.16","Sat May 25 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00493","65","41447.73","Sat Oct 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00495","89","67333.25","Thu Aug 22 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00497","74","38331.34","Fri Feb 07 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00500","16","22165.24","Fri Jun 20 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00503","85","140921.68","Sat May 03 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00506","64","114648.34","Sat Nov 08 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00513","73","101745.66","Sat Feb 08 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00514","20","147379.58","Sat Aug 04 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00515","152","126291.86","Mon Jul 22 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00516","165","86916.85","Wed Sep 05 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00529","70","137345.36","Thu May 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00542","64","11353.61","Mon Jan 30 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00547","154","120740.58","Sun Apr 08 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00549","148","113786.87","Wed Nov 26 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00572","64","45842.62","Tue Jul 17 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00577","187","66698.09","Fri Nov 08 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00595","121","127061.24","Mon Aug 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00598","187","48569.72","Sun Sep 14 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00606","152","83916.95","Sat Jul 27 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00608","26","12719.45","Fri May 23 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00609","26","112033.83","Sun Aug 18 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00616","74","115237.53","Thu May 23 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00647","70","20500.53","Fri Sep 28 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00659","66","62603.28","Fri Jul 19 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00662","148","17385.25","Thu Jun 14 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00666","68","23873.23","Thu Dec 11 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00685","22","148469.96","Sun Apr 01 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00709","148","140452.7","Fri Feb 22 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00714","74","67691.75","Thu Feb 21 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00715","51","1747.85","Mon May 05 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00721","4","64319.59","Wed Aug 28 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00733","20","39295.56","Sat May 04 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00737","51","112950.45","Wed Oct 16 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00740","187","110328.71","Sat Feb 11 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00742","154","12500.83","Wed Jun 25 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00744","141","54942.05","Tue May 14 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00750","101","11730.37","Fri Mar 23 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00752","148","110782.06","Fri Aug 24 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00759","187","104748.07","Sun Dec 09 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00761","25","59933.47","Sun Nov 04 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00762","68","128251.51","Wed Jan 25 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00773","125","68494.09","Mon Nov 03 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00787","66","127172.11","Thu May 03 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00789","20","50968.29","Wed May 23 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00803","23","116842.34","Fri Sep 27 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00804","187","115718.81","Sat Feb 11 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00806","20","143649.24","Tue Jan 03 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00810","66","31029.86","Wed May 09 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00812","101","74605.72","Mon May 28 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00822","68","50575.7","Tue Jun 25 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00825","25","29903.88","Sat Sep 22 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00828","187","13292.9","Sat Aug 31 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00833","4","100755.82","Tue Oct 23 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00859","126","8604.3","Thu Jul 24 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00861","68","19487.09","Thu Jul 31 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00864","70","127867.55","Wed Nov 19 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00873","20","140968.4","Mon Jun 16 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00875","16","98996.17","Thu Nov 28 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00885","154","65172.71","Thu Jul 18 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00886","74","118092.94","Sun Feb 10 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00892","187","126490.15","Sat Aug 31 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00895","52","39462.78","Tue Oct 14 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00899","146","148739.74","Wed Aug 21 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00910","68","20644.46","Sat Jul 13 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00912","142","26284.6","Sat Jul 19 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00913","126","56600.4","Sat Mar 08 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00917","70","33564.08","Fri Aug 23 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00927","152","89226.11","Sat Mar 23 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-00928","65","42258.93","Sat Dec 06 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-00946","141","69415.92","Fri May 25 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00950","154","75706.11","Sun May 25 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00957","146","103575.14","Sat Jun 29 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00963","20","38183.35","Wed Mar 28 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00970","25","94731.14","Fri Jan 06 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00976","22","123737.51","Tue Jul 31 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00988","34","136417.18","Fri Jul 19 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-00991","125","7392.17","Wed Jan 18 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-00993","154","65872.48","Wed Oct 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-00994","66","117241.19","Tue Oct 09 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-00998","119","37766.07","Fri Jan 04 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01000","148","81459.75","Sun Jun 10 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01003","51","107406.7","Sun Jun 29 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01004","73","63937.82","Thu Sep 04 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01022","187","88285.97","Sat Mar 23 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01035","68","23801.92","Wed Aug 28 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01041","66","34617.71","Wed May 16 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01046","119","3182.72","Tue Nov 19 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01048","148","130708.71","Sat Aug 18 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01054","154","68051.67","Wed Aug 29 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01060","52","36653.26","Fri Mar 29 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01062","34","41224.2","Sat Nov 24 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01068","141","67251.24","Sat Jan 19 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01069","85","131613.23","Fri Feb 21 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01070","187","38796.75","Mon Oct 22 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01082","65","62564.53","Wed Jul 11 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01089","22","22112.1","Sun Dec 14 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01091","142","38116.74","Tue Sep 04 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01092","121","8038.14","Sat Sep 27 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01099","92","72298.49","Sun Sep 28 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01103","74","59641.74","Wed Feb 12 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01104","70","47030.97","Mon Sep 01 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01110","70","144873.3","Mon Apr 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01111","121","94073.52","Sat Dec 28 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01117","34","10991.66","Thu Aug 01 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01127","37","6368.17","Thu Jun 12 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01134","85","125463.72","Mon Nov 04 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01137","66","75174.52","Mon Feb 20 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01138","70","76244.09","Sun Sep 14 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01148","25","94820.08","Tue Jan 08 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01149","51","24878.1","Tue Jul 23 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01151","85","8547.23","Mon Oct 08 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01157","169","35636.08","Tue Oct 07 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01158","70","37776.48","Mon Aug 25 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01160","23","1515.09","Sun May 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01162","70","109807.07","Fri May 10 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01181","65","99893.79","Sun Mar 02 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01185","34","41011.98","Sun Dec 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01191","70","117028.49","Thu Oct 24 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01198","23","75668.14","Wed Apr 11 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01204","125","98205.81","Sun Feb 17 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01225","169","11470.36","Sun Feb 12 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01226","165","18413.51","Sun Sep 21 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01232","65","75016.68","Fri Mar 16 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01244","73","91576.02","Thu Apr 17 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01255","64","89294.02","Wed Jan 09 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01259","4","13135.78","Mon Sep 17 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01283","119","39854.32","Tue Nov 26 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01289","146","24649.03","Wed Oct 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01291","4","57240.52","Tue Jun 04 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01300","92","114070.95","Wed Aug 28 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01305","73","78260.6","Sat Jul 28 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01314","25","115857.66","Wed Aug 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01318","34","52296.09","Fri Feb 24 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01322","51","54002.82","Thu Oct 24 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01327","4","14477.21","Sat Sep 20 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01330","154","73995.99","Wed Jan 15 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01333","37","38734.8","Thu Dec 12 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01338","16","84999.61","Tue May 29 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01367","64","54406.1","Mon Jul 02 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01374","85","107647.42","Sat Jan 28 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01380","89","138291.8","Tue Sep 24 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01383","68","113570.82","Fri Jul 11 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01394","92","34422.33","Sun Dec 22 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01397","85","58312.66","Sat Feb 22 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01404","23","41065.55","Tue Jul 02 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01406","66","50659.22","Wed Aug 07 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01415","92","45357.7","Fri Oct 18 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01417","73","69224.13","Sat Aug 16 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01421","73","62771.33","Sun Oct 14 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01422","16","56820.75","Mon Aug 19 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01426","141","148891.18","Sun Jul 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01428","52","35551.53","Sat Dec 21 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01436","66","51620.77","Fri Mar 14 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01444","23","78403.76","Thu Dec 18 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01446","165","12034.12","Tue Apr 10 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01447","51","148569.57","Sat Jan 28 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01451","26","143785.64","Mon May 26 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01455","51","149402.76","Wed Aug 29 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01460","119","11426.19","Mon Nov 12 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01462","165","52252.81","Sat Jul 21 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01465","165","46569.29","Tue Dec 30 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01469","169","89364.44","Sat Dec 01 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01470","169","31063.26","Tue May 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01472","37","149157.73","Sun Jul 14 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01476","52","81595.22","Thu Jul 10 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01481","152","25023.46","Thu Sep 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01482","165","92825.15","Mon Apr 14 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01492","152","90016.83","Wed Jan 08 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01496","74","60584.32","Sat May 11 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01498","154","118955.32","Thu Sep 19 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01500","125","25706.7","Sat Dec 07 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01507","16","51756.29","Wed Nov 27 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01509","153","12241.23","Sat Jul 13 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01510","73","112474.92","Tue Apr 17 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01512","152","8081.51","Fri Dec 19 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01528","20","120578.86","Sun Dec 23 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01531","68","85065.43","Tue Apr 01 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01533","66","92258.78","Fri Mar 23 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01534","125","110738.06","Wed Jul 02 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01540","74","32205.5","Sat Sep 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01544","146","40727.06","Tue Jul 03 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01545","25","130093.38","Tue May 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01549","64","59598.48","Sun Feb 12 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01552","142","90999.81","Wed Nov 21 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01560","64","121104.71","Wed Nov 20 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01562","65","11966.35","Sat Apr 05 2014 00:00:00 GMT-0600 (hora estándar central)"
